Year,EventName,RoundNumber,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedST,Time,DriverNumber,PitOutTime,PitInTime,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedFL,IsPersonalBest,FreshTyre,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2021,Bahrain Grand Prix,1,HAM,Mercedes,14.0,2.0,HARD,1.0,0 days 00:01:55.006000,0 days 00:00:51.319000,0 days 00:00:40.418000,0 days 00:00:23.269000,233.0,257.0,221.0,0 days 01:02:26.304000,44,0 days 01:00:54.547000,,0 days 01:01:22.619000,0 days 01:02:03.037000,0 days 01:02:26.306000,280.0,False,True,0 days 01:00:31.298000,,1,4.0,,,False,False
2021,Bahrain Grand Prix,1,HAM,Mercedes,15.0,2.0,HARD,2.0,0 days 00:01:34.057000,0 days 00:00:29.944000,0 days 00:00:40.709000,0 days 00:00:23.404000,,251.0,288.0,0 days 01:04:00.361000,44,,,0 days 01:02:56.250000,0 days 01:03:36.959000,0 days 01:04:00.363000,277.0,True,True,0 days 01:02:26.304000,,1,3.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,16.0,2.0,HARD,3.0,0 days 00:01:35.104000,0 days 00:00:30.504000,0 days 00:00:41.102000,0 days 00:00:23.498000,,249.0,282.0,0 days 01:05:35.465000,44,,,0 days 01:04:30.867000,0 days 01:05:11.969000,0 days 01:05:35.467000,275.0,False,True,0 days 01:04:00.361000,,1,3.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,17.0,2.0,HARD,4.0,0 days 00:01:35.099000,0 days 00:00:30.389000,0 days 00:00:41.101000,0 days 00:00:23.609000,,254.0,285.0,0 days 01:07:10.564000,44,,,0 days 01:06:05.856000,0 days 01:06:46.957000,0 days 01:07:10.566000,275.0,False,True,0 days 01:05:35.465000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,18.0,2.0,HARD,5.0,0 days 00:01:35.266000,0 days 00:00:30.555000,0 days 00:00:41.271000,0 days 00:00:23.440000,232.0,254.0,287.0,0 days 01:08:45.830000,44,,,0 days 01:07:41.121000,0 days 01:08:22.392000,0 days 01:08:45.832000,276.0,False,True,0 days 01:07:10.564000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,19.0,2.0,HARD,6.0,0 days 00:01:35.346000,0 days 00:00:30.557000,0 days 00:00:41.238000,0 days 00:00:23.551000,,254.0,281.0,0 days 01:10:21.176000,44,,,0 days 01:09:16.389000,0 days 01:09:57.627000,0 days 01:10:21.178000,276.0,False,True,0 days 01:08:45.830000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,20.0,2.0,HARD,7.0,0 days 00:01:35.324000,0 days 00:00:30.750000,0 days 00:00:41.051000,0 days 00:00:23.523000,233.0,255.0,286.0,0 days 01:11:56.500000,44,,,0 days 01:10:51.928000,0 days 01:11:32.979000,0 days 01:11:56.502000,277.0,False,True,0 days 01:10:21.176000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,21.0,2.0,HARD,8.0,0 days 00:01:35.837000,0 days 00:00:30.908000,0 days 00:00:41.469000,0 days 00:00:23.460000,230.0,253.0,283.0,0 days 01:13:32.337000,44,,,0 days 01:12:27.410000,0 days 01:13:08.879000,0 days 01:13:32.339000,278.0,False,True,0 days 01:11:56.500000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,22.0,2.0,HARD,9.0,0 days 00:01:35.539000,0 days 00:00:30.716000,0 days 00:00:41.255000,0 days 00:00:23.568000,231.0,253.0,286.0,0 days 01:15:07.876000,44,,,0 days 01:14:03.055000,0 days 01:14:44.310000,0 days 01:15:07.878000,277.0,False,True,0 days 01:13:32.337000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,23.0,2.0,HARD,10.0,0 days 00:01:35.219000,0 days 00:00:30.573000,0 days 00:00:41.001000,0 days 00:00:23.645000,232.0,258.0,281.0,0 days 01:16:43.095000,44,,,0 days 01:15:38.451000,0 days 01:16:19.452000,0 days 01:16:43.097000,277.0,False,True,0 days 01:15:07.876000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,24.0,2.0,HARD,11.0,0 days 00:01:35.087000,0 days 00:00:30.501000,0 days 00:00:41.090000,0 days 00:00:23.496000,231.0,258.0,290.0,0 days 01:18:18.182000,44,,,0 days 01:17:13.598000,0 days 01:17:54.688000,0 days 01:18:18.184000,278.0,False,True,0 days 01:16:43.095000,,1,1.0,,,False,True
